Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
1164,4,0.6945,4.167,3139.0,0.001322,0.9929309999999999,CXCL3 HPSE PPBP UGT2B15,neutrophil chemotaxis|chemokine-mediated signaling pathway|granulocyte chemotaxis|killing of cells of other organism|neutrophil migration,8.67e-05|9.117e-05|0.0001004|0.0001028|0.0001101,1|0.719|0.528|0.4054|0.3474,133.7|130.3|124.1|122.6|118.4
1165,4,0.7072,4.243,2858.0,0.001478,0.9929309999999999,HRAS KRTAP5-1 KRTAP5-10 KRTAP5-9,keratinization|keratinocyte differentiation|epidermal cell differentiation|skin development|epidermis development,7.505e-08|1.471e-07|2.823e-07|6.042e-07|8.462e-07,0.001184|0.001161|0.001484|0.002383|0.002669,72.9|61.48|52.14|43.02|39.51
1166,6,0.7127,10.69,4896.0,0.0021739999999999997,0.998474,HRASLS HTR3D MUC4 SLC51A TCTEX1D2 TM4SF19,regulation of intraciliary retrograde transport|bile acid secretion|N-acylphosphatidylethanolamine metabolic process|intraciliary retrograde transport|maintenance of gastrointestinal epithelium,0.0008735|0.002037|0.002909|0.004361|0.006101,1|1|1|1|1,1716|572.1|381.4|245.2|171.6
1167,15,0.6561,68.89,12040.0,0.005675,0.999999,AQP7 CREB3 DNAI1 DNAJB5 FAM205A GALT IFNA1 IFNA4 KIF24 OR2S2 PRSS3 SIGMAR1 SPAG8 TOMM5 UBAP2,positive regulation of peptidyl-serine phosphorylation of STAT protein|natural killer cell activation involved in immune response|regulation of peptidyl-serine phosphorylation of STAT protein|B cell proliferation|response to exogenous dsRNA,0.0001133|0.0001469|0.0001469|0.0004388|0.0006175,1|1|0.7724|1|1,137.3|119.4|119.4|66.98|56.04
1168,14,0.6378,58.04,10920.0,0.0052710000000000005,0.9999969999999999,COL6A2 KRTAP10-11 KRTAP10-3 KRTAP10-6 KRTAP10-8 KRTAP10-9 KRTAP12-1 KRTAP12-3 KRTAP12-4 KRTAP19-3 KRTAP19-7 PCBP3 TMPRSS3 TRPM2,keratinization|keratinocyte differentiation|epidermal cell differentiation|skin development|epidermis development,9.144e-17|4.8e-16|2.393e-15|1.565e-14|3.594e-14,1.442e-12|3.786e-12|1.258e-11|6.171e-11|1.134e-10,60.75|51.23|43.45|35.85|32.93
1169,4,0.7122,4.273,3393.0,0.001255,0.9929309999999999,HS1BP3 IFT172 LBH NDUFAF2,positive regulation of mammary stem cell proliferation|regulation of mammary stem cell proliferation|positive regulation of somatic stem cell division|regulation of somatic stem cell division|positive regulation of somatic stem cell population maintenance,0.0003883|0.0003883|0.0003883|0.0003883|0.0005825,1|1|1|1|1,5149|5149|5149|5149|2574
1170,15,0.6542,68.69,11920.0,0.005715,0.999999,ALDH3A1 CCDC144A CCDC144NL DRC3 GID4 HS3ST3A1 HS3ST3B1 MFAP4 MYO15A SLC47A2 TBC1D28 TNFRSF13B TRPV2 ZNF287 ZNF624,"glycosaminoglycan biosynthetic process|aminoglycan biosynthetic process|heparan sulfate proteoglycan biosynthetic process, enzymatic modification|glycosaminoglycan metabolic process|protein sulfation",0.002781|0.003168|0.005422|0.006214|0.006966,1|1|1|1|1,25.74|24.06|214.5|16.94|160.9
1171,4,0.6943,4.166,3137.0,0.001323,0.9929309999999999,GLIS2 HS3ST6 PRSS33 TPSG1,regulation of transcription from RNA polymerase II promoter involved in kidney development|protein kinase C signaling|hematopoietic stem cell homeostasis|blastocyst hatching|organism emergence from protective structure,0.0003883|0.003104|0.003104|0.005233|0.005233,1|1|1|1|1,5149|343.2|343.2|198|198
1172,4,0.6859,4.115,3429.0,0.001196,0.9929309999999999,CERCAM HSD17B3 SARDH USP20,sarcosine catabolic process|sarcosine metabolic process|testosterone biosynthetic process|choline catabolic process|protein phosphopantetheinylation,0.0003883|0.0005825|0.001165|0.001359|0.001576,1|1|1|1|1,5149|2574|1030|858.1|30.65
1173,15,0.6554,68.82,11290.0,0.0060420000000000005,0.999999,AQP5 HOXC8 INHBE KRT1 KRT5 KRT6B KRT79 KRT82 KRT84 KRT86 OR10P1 OR6C1 OR6C3 RDH16 SDR9C7,cornification|keratinization|keratinocyte differentiation|epidermal cell differentiation|skin development,1.176e-12|1.285e-10|4.098e-10|1.258e-09|4.65e-09,1.856e-08|1.014e-06|2.155e-06|4.959e-06|1.467e-05,85.05|42.53|35.86|30.41|25.09
1174,4,0.6585,3.951,2702.0,0.001456,0.9929309999999999,DNAJA1 DNAJA2 HSP90AA1 STIP1,response to heat|response to temperature stimulus|protein folding|protein refolding|positive regulation of ATPase activity,4.292e-07|2.157e-06|5.523e-06|5.932e-06|4.987e-05,0.006771|0.01701|0.02904|0.02339|0.1573,160.9|93.05|67.75|542|177.5
1175,8,0.6572,18.4,5419.0,0.0033740000000000003,0.9996790000000001,HSPA5 RPL11 RPL12 RPL17 RPL35 RPL37 RPLP2 RPS13,protein targeting to ER|establishment of protein localization to endoplasmic reticulum|protein localization to endoplasmic reticulum|protein targeting to membrane|SRP-dependent cotranslational protein targeting to membrane,9.753e-19|1.281e-18|6.538e-18|4.709e-17|5.054e-16,1.538e-14|1.01e-14|3.438e-14|1.857e-13|1.594e-12,185.5|179.1|145|112.5|187.7
1176,11,0.6692,36.8,7636.0,0.004783,0.999969,RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL23 RPL23A RPL27 RPL7 RPS15A,SRP-dependent cotranslational protein targeting to membrane|cotranslational protein targeting to membrane|protein targeting to ER|establishment of protein localization to endoplasmic reticulum|viral transcription,4.36e-26|7.385e-26|1.975e-25|2.859e-25|3.13e-25,6.878e-22|5.825e-22|1.038e-21|1.128e-21|9.875e-22,214.5|203.9|185.5|179.1|177.5
1177,4,0.6725,4.035,3040.0,0.001322,0.9929309999999999,HSPB2 HTR3A NXPE1 RAB39A,phagosome-lysosome fusion|Rab protein signal transduction|phagolysosome assembly|phagosome acidification|serotonin receptor signaling pathway,0.002328|0.00291|0.003104|0.00562|0.007745,1|1|1|1|1,468.1|367.8|343.2|183.9|132
1178,4,0.703,4.218,2761.0,0.001521,0.9929309999999999,HSPD1 HSPE1 NEDD1 PAFAH1B1,'de novo' protein folding|activation of cysteine-type endopeptidase activity involved in apoptotic process|ciliary basal body-plasma membrane docking|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|G2/M transition of mitotic cell cycle,2.792e-05|0.0001203|0.0001309|0.0002727|0.0002806,0.4404|0.9486|0.6881|1|0.8851,239.5|113.2|108.4|74.62|73.55
1179,9,0.6583,23.7,6864.0,0.003432,0.9998530000000001,CCDC137 DDX31 DNAJC21 GNL1 PINX1 RBM34 RPF1 WDR89 ZNF622,ribosome biogenesis|ribosomal large subunit biogenesis|ribonucleoprotein complex biogenesis|ganglion mother cell fate determination|positive regulation of telomeric DNA binding,0.0004696|0.000562|0.00124|0.001455|0.001455,1|1|1|1|1,18.61|57.21|13.29|1030|1030
1180,5,0.6557,6.557,4101.0,0.001592,0.996692,HTR3D HTR3E SERP1 SERPINI1 TCTEX1D2,serotonin receptor signaling pathway|cellular response to dopamine|response to dopamine|cellular response to catecholamine stimulus|cellular response to monoamine stimulus,3.85e-05|0.0001591|0.000163|0.0002265|0.0002265,0.6073|1|0.857|0.8932|0.7145,211.2|101.7|100.5|84.93|84.93
1181,13,0.6604,51.51,9798.0,0.005215999999999999,0.999993,CD1C CIART CTSK FLG2 HIST2H2AB HRNR HYDIN LCE3E S100A12 S100A2 S100A4 S100A5 S100A6,establishment of skin barrier|regulation of water loss via skin|leukocyte activation involved in immune response|cell activation involved in immune response|multicellular organismal process,0.0001082|0.0001251|0.0003607|0.0003695|0.000579,1|0.9868|1|1|1,137.3|127.1|10.9|10.83|2.484
1182,6,0.6797,10.2,4616.0,0.002198,0.998474,A2M CLEC4D CLEC6A GYS2 IAPP SLCO1C1,regulation of defense response|regulation of innate immune response|regulation of immune response|regulation of response to external stimulus|regulation of response to biotic stimulus,3.891e-05|6.844e-05|0.0001248|0.0001493|0.0001653,0.6138|0.5398|0.6564|0.5887|0.5216,16.38|33|12.16|11.62|24.46
1183,5,0.6648,6.648,3265.0,0.002026,0.996692,HSPD1 HSPE1 IARS2 LETM1 LONP1,chaperone-mediated protein complex assembly|'de novo' protein folding|mitochondrion organization|activation of cysteine-type endopeptidase activity involved in apoptotic process|mitochondrial transmembrane transport,1.19e-05|4.647e-05|0.000107|0.0001999|0.0002646,0.1877|0.3665|0.5625|0.7881|0.8347,392.3|191.6|27.04|90.53|78.46
1184,6,0.6517,9.775,4967.0,0.00196,0.998474,ABCB5 AGR3 DBNL GHRHR ICA1 NPY,"somatotropin secreting cell development|positive regulation of developmental growth|somatotropin secreting cell differentiation|regulation of biological quality|positive regulation of circadian sleep/wake cycle, non-REM sleep",0.0005824|0.001029|0.001165|0.001405|0.001456,1|1|1|1|1,3432|40.15|1144|4.283|858.1
1185,7,0.6501,13.65,4337.0,0.003128,0.9992989999999999,ICMT KRAS NRAS RAF1 RAP1GDS1 RCE1 SHOC2,MAPK cascade|intracellular signal transduction|stimulatory C-type lectin receptor signaling pathway|innate immune response activating cell surface receptor signaling pathway|innate immune response-activating signal transduction,4.436e-10|1.324e-06|6.304e-06|6.969e-06|7.142e-06,6.998e-06|0.01044|0.03315|0.02748|0.02253,43.16|11.21|76.75|74.17|73.55
1186,7,0.6718,14.11,4735.0,0.0029620000000000002,0.9992989999999999,ID2 IPO5 PRDM1 RC3H1 SMAD7 TCF12 TCF3,regulation of alpha-beta T cell differentiation|regulation of cell differentiation|regulation of alpha-beta T cell activation|negative regulation of T-helper 17 cell differentiation|negative regulation of T-helper 17 type immune response,1.989e-06|4.967e-06|6.87e-06|1.027e-05|1.198e-05,0.03138|0.03918|0.03612|0.04049|0.03779,117|9.801|76.47|468.1|429.1
1187,6,0.7172,10.76,3560.0,0.003003,0.998474,IER3IP1 SCYL1 TAPT1 TMEM167A UNC50 YIPF5,protein localization|macromolecule localization|localization|vesicle-mediated transport|positive regulation of bone development,6.958e-05|0.0001574|0.0005038|0.001051|0.001165,1|1|1|1|1,7.953|6.73|3.547|7.012|1144
1188,12,0.6603,43.58,9833.0,0.0044020000000000005,0.999986,CD101 FAM19A3 FAM69A GBP5 GNAT2 GSTM2 GSTM5 IFI44 IFI44L KCNA10 RHOC TMEM56,glutathione derivative biosynthetic process|glutathione derivative metabolic process|glutathione metabolic process|interleukin-18 production|skeletal muscle satellite cell migration,7.105e-05|7.105e-05|0.0005621|0.001067|0.001601,1|0.5604|1|1|1,170.2|170.2|57.61|1872|936.1
1189,4,0.6929,4.158,3160.0,0.0013109999999999999,0.9929309999999999,CYP26C1 IFIT2 IFIT3 ZNF485,cellular response to interferon-alpha|response to interferon-alpha|type I interferon signaling pathway|cellular response to type I interferon|response to type I interferon,2.967e-06|9.177e-06|6.8e-05|6.997e-05|8.235e-05,0.0468|0.07238|0.3575|0.2759|0.2598,792.1|429.1|151.4|149.2|137.3
1190,4,0.6694,4.016,2939.0,0.001361,0.9929309999999999,HIC2 IGF2BP1 LIN28B SOX11,negative regulation of RNA metabolic process|negative regulation of nucleobase-containing compound metabolic process|negative regulation of nitrogen compound metabolic process|negative regulation of cellular metabolic process|negative regulation of macromolecule metabolic process,2.113e-05|2.938e-05|0.000182|0.0002471|0.0003735,0.3333|0.2318|0.9571|0.9745|1,14.77|13.6|8.617|7.983|7.199
1191,5,0.7187,7.187,3584.0,0.001996,0.996692,ABL1 BCR PTPN1 QRFP WT1,platelet-derived growth factor receptor signaling pathway|platelet-derived growth factor receptor-beta signaling pathway|negative regulation of ERK1 and ERK2 cascade|transmembrane receptor protein tyrosine kinase signaling pathway|regulation of Rho protein signal transduction,5.776e-08|2.119e-06|0.0001264|0.0001557|0.0001789,0.0009111|0.01671|0.6647|0.6142|0.5645,353.1|1030|114.4|23.81|95.79
1192,4,0.682,4.092,3357.0,0.001215,0.9929309999999999,IGFBP1 NINJ1 THADA WDR38,tissue regeneration|regeneration|negative regulation of ATPase-coupled calcium transmembrane transporter activity|developmental growth|growth,6.041e-05|0.0003695|0.0009706|0.001746|0.001776,0.953|1|1|1|1,160.9|63.96|1287|29.09|28.84
1193,16,0.6513,78.16,13090.0,0.0059229999999999994,0.999999,ABCA13 AEBP1 AGR3 FKBP9 GHRHR IGFBP3 NIPSNAP2 NUPR2 PHKG1 PKD1L1 PSPH SEPT14 SUMF2 UPP1 VWC2 ZNF713,positive regulation of insulin-like growth factor receptor signaling pathway|regulation of insulin-like growth factor receptor signaling pathway|response to nutrient levels|protein peptidyl-prolyl isomerization|response to extracellular stimulus,6.68e-05|0.0001748|0.0006286|0.0007663|0.0007824,1|1|1|1|1,186.4|110.1|9.79|50.48|9.23
1194,16,0.6265,75.18,11970.0,0.006222999999999999,0.999999,C8orf33 FOXH1 GLI4 LY6K LYPD2 MAPK15 MROH6 NAPRT RHPN1 SLURP2 TSNARE1 ZFP41 ZNF16 ZNF250 ZNF696 ZNF707,pyridine nucleotide salvage|positive regulation of metaphase/anaphase transition of meiotic cell cycle|positive regulation of metaphase/anaphase transition of meiosis I|regulation of metaphase/anaphase transition of meiosis I|positive regulation of meiotic chromosome separation,0.001552|0.001552|0.001552|0.001552|0.001552,1|1|1|1|1,1287|1287|1287|1287|1287
1195,10,0.6721,30.24,8306.0,0.003619,0.999933,APOC2 C5AR1 CCDC61 EML2 IGFL1 IGFL2 IGFL3 IGFL4 PGLYRP1 PVR,positive regulation of phospholipase activity|regulation of phospholipase activity|positive regulation of lipase activity|regulation of lipase activity|defense response to Gram-positive bacterium,0.0004075|0.000562|0.0005773|0.001023|0.001064,1|1|1|1|1,67.52|57.21|56.42|42.03|41.19
1196,4,0.6587,3.952,3168.0,0.001243,0.9929309999999999,CHIT1 IGFN1 PEF1 TMEM81,positive regulation of protein monoubiquitination|regulation of protein monoubiquitination|chitin catabolic process|chitin metabolic process|polysaccharide digestion,0.001165|0.001359|0.001359|0.001359|0.001359,1|1|1|1|1,1030|858.1|858.1|858.1|858.1
1197,6,0.6502,9.752,4691.0,0.002069,0.998474,IGSF10 P2RY14 PLSCR1 PLSCR2 TFDP2 TM4SF4,plasma membrane phospholipid scrambling|phospholipid translocation|lipid translocation|regulation of membrane lipid distribution|phospholipid transport,1.629e-05|7.927e-05|8.956e-05|0.0001201|0.0003119,0.2569|0.6252|0.4709|0.4735|0.9838,343.2|149.2|140.1|120.4|73.82
1198,4,0.6909,4.145,3233.0,0.001277,0.9929309999999999,ANKIB1 IGSF8 MBLAC1 ZSCAN21,positive regulation of proteasomal ubiquitin-dependent protein catabolic process|positive regulation of ubiquitin-dependent protein catabolic process|positive regulation of proteasomal protein catabolic process|skeletal muscle tissue development|positive regulation of proteolysis involved in cellular protein catabolic process,0.01756|0.02081|0.02176|0.02348|0.02539,1|1|1|1|1,57.21|48.12|45.97|42.55|39.3
1199,6,0.6562,9.843,5317.0,0.0018440000000000002,0.998474,AP3M1 CYP2C9 IHH PPP3CB SEMA4G SRGN,cell morphogenesis involved in differentiation|cellular component morphogenesis|photoreceptor cell fate commitment|vitelline membrane formation|eye photoreceptor cell fate commitment,0.0003699|0.0004763|0.0005824|0.0005824|0.0005824,1|1|0.4835|0.5104|0.5404,18.59|17.05|3432|3432|3432
1200,4,0.6865,4.119,3044.0,0.001348,0.9929309999999999,ERH IKZF2 IRAK2 PTGER4,JNK cascade|stress-activated MAPK cascade|stress-activated protein kinase signaling cascade|negative regulation of eosinophil extravasation|regulation of eosinophil extravasation,0.0001077|0.0001714|0.0002209|0.0003883|0.0003883,1|1|1|1|1,119.7|94.47|83.04|5149|5149
1201,15,0.6519,68.45,11600.0,0.005849,0.999999,ACVRL1 AQP5 IKZF4 KRT1 KRT7 KRT74 KRT75 KRT78 KRT79 KRT82 KRT83 KRT84 KRT86 OR10P1 OR2AP1,cornification|keratinization|keratinocyte differentiation|epidermal cell differentiation|skin development,1.156e-19|9.144e-17|4.8e-16|2.393e-15|1.565e-14,1.823e-15|7.212e-13|2.524e-12|9.435e-12|4.937e-11,121.5|60.75|51.23|43.45|35.85
1202,14,0.6528,59.41,10760.0,0.0054789999999999995,0.9999969999999999,COL6A2 KRTAP10-11 KRTAP10-3 KRTAP10-8 KRTAP10-9 KRTAP12-1 KRTAP12-3 KRTAP12-4 KRTAP13-1 KRTAP19-3 KRTAP19-6 KRTAP19-7 KRTAP19-8 TMPRSS3,keratinization|keratinocyte differentiation|epidermal cell differentiation|skin development|epidermis development,1.878e-21|1.37e-20|9.418e-20|8.991e-19|2.443e-18,2.962e-17|1.081e-16|4.952e-16|3.546e-15|7.708e-15,72.9|61.48|52.14|43.02|39.51
1203,4,0.7441,4.465,2588.0,0.0017170000000000002,0.9929309999999999,CEP192 IL17D KIF18B KIF2C,microtubule polymerization or depolymerization|mitotic nuclear division|microtubule depolymerization|nuclear division|protein depolymerization,7.191e-08|4.267e-06|4.831e-06|1.808e-05|1.984e-05,0.001134|0.03365|0.0254|0.07131|0.06258,297|73.91|605.7|45.43|286
1204,4,0.664,3.984,3428.0,0.001158,0.9929309999999999,AP3M2 IL17RC LSM1 ZNF35,deadenylation-dependent decapping of nuclear-transcribed mRNA|interleukin-17-mediated signaling pathway|cellular response to interleukin-17|response to interleukin-17|histone mRNA catabolic process,0.001941|0.001941|0.001941|0.001941|0.002328,1|1|1|1|1,572.1|572.1|572.1|572.1|468.1
1205,4,0.6652,3.991,3092.0,0.001286,0.9929309999999999,DNAJC21 GPATCH4 IL1A NEMF,ribosome-associated ubiquitin-dependent protein catabolic process|fever generation|rescue of stalled ribosome|positive regulation of immature T cell proliferation in thymus|connective tissue replacement involved in inflammatory response wound healing,0.0005825|0.0007766|0.0009706|0.0009706|0.001165,1|1|1|1|1,2574|1716|1287|1287|1030
1206,4,0.6512,3.907,3384.0,0.00115,0.9929309999999999,C16orf90 CLUAP1 CORO7 IL27,regulation of T-helper 1 cell differentiation|interleukin-27-mediated signaling pathway|Golgi to endosome transport|regulation of T-helper 1 type immune response|positive regulation of defense response to virus by host,0.002134|0.002328|0.003491|0.00562|0.00678,1|1|1|1|1,514.9|468.1|302.9|183.9|151.4
1207,6,0.6511,9.767000000000001,4683.0,0.002076,0.998474,BICDL2 HCFC1R1 IL32 MMP25 PAQR4 TNFRSF12A,collagen catabolic process|collagen metabolic process|Golgi to secretory granule transport|positive regulation of type III interferon production|positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding,9.729e-05|0.0001914|0.001019|0.001019|0.001698,1|1|1|1|1,136.8|96.46|1471|1471|735.5
1208,7,0.6954,14.6,4914.0,0.002954,0.9992989999999999,IL6R IL6ST JAK1 LIFR SLC39A1 SOCS3 STAT3,interleukin-6-mediated signaling pathway|cellular response to interleukin-6|response to interleukin-6|ciliary neurotrophic factor-mediated signaling pathway|positive regulation of tyrosine phosphorylation of STAT protein,2.282e-14|5.076e-13|8.273e-13|1.344e-09|4.244e-09,3.6e-10|4.003e-09|4.35e-09|5.3e-06|1.339e-05,817.3|408.6|367.8|1765|178.3
1209,4,0.694,4.164,3174.0,0.001307,0.9929309999999999,KDR KIT PDGFRA TMPRSS11B,hematopoietic progenitor cell differentiation|positive regulation of phosphatidylinositol 3-kinase signaling|regulation of phosphatidylinositol 3-kinase signaling|peptidyl-tyrosine phosphorylation|peptidyl-tyrosine modification,3.216e-07|3.669e-07|9.554e-07|1.506e-06|1.599e-06,0.005073|0.002894|0.005024|0.005938|0.005043,177.5|169.7|122.6|105.1|103
1210,5,0.6607,6.607,4018.0,0.001637,0.996692,CRYGB CRYGC CRYGD ILKAP PRLH,lens development in camera-type eye|visual perception|sensory perception of light stimulus|lens fiber cell differentiation|camera-type eye development,5.398e-07|1.167e-05|1.232e-05|1.65e-05|3.663e-05,0.008515|0.09202|0.06477|0.06508|0.1155,162.6|57.21|56.17|329.5|38.86
1211,4,0.6531,3.9189999999999996,3371.0,0.001158,0.9929309999999999,IMMP1L LRSAM1 NAGA UBXN11,organonitrogen compound catabolic process|organic substance catabolic process|cellular catabolic process|catabolic process|carbohydrate derivative catabolic process,3.654e-05|0.0002502|0.0002709|0.0004838|0.0009018,0.5763|1|1|1|1,15.26|9.356|9.169|7.906|42.03
1212,6,0.6908,10.36,4136.0,0.0024920000000000003,0.998474,AK6 IMP3 IMP4 NOP9 UTP4 WDR43,rRNA processing|rRNA metabolic process|ribosome biogenesis|ncRNA processing|ribonucleoprotein complex biogenesis,4.095e-08|4.926e-08|1.357e-07|4.928e-07|7.064e-07,0.0006459|0.0003886|0.0007135|0.001943|0.002229,44.01|42.38|34.46|26.49|24.61
1213,7,0.6543,13.74,5575.0,0.0024530000000000003,0.9992989999999999,DSG1 DSG3 HRH4 IMPACT LAMA3 RMC1 ZNF396,epidermis development|cell-cell adhesion|cornification|response to benomyl|cellular response to benomyl,0.000277|0.00051|0.0006369|0.0006794|0.0006794,1|1|1|1|1,21.17|17.17|52.07|2942|2942
1214,6,0.6969,10.45,3903.0,0.002663,0.998474,SNAPC1 SNAPC2 SNAPC3 SNAPC5 SNRPA1 SNRPB2,transcription by RNA polymerase III|snRNA transcription by RNA polymerase III|snRNA transcription by RNA polymerase II|snRNA transcription|ncRNA transcription,1.175e-10|2.263e-09|2.288e-09|2.417e-09|7.169e-09,1.853e-06|1.785e-05|1.203e-05|9.53e-06|2.262e-05,429.1|1287|196.1|193.4|146.1
1215,6,0.6501,9.752,3754.0,0.002583,0.998474,IPMK IPPK ITPK1 PGM3 PPCDC UGP2,organophosphate metabolic process|small molecule metabolic process|inositol phosphorylation|glucose 1-phosphate metabolic process|inositol phosphate metabolic process,7.027e-09|2.424e-07|4.24e-07|4.24e-07|5.158e-07,0.0001108|0.001912|0.00223|0.001672|0.001627,22.93|12.69|3432|3432|174.5
1216,5,0.7021,7.021,3288.0,0.002125,0.996692,INPPL1 KCTD5 PIK3CA PIK3CB PIK3R1,phosphatidylinositol biosynthetic process|phosphatidylinositol metabolic process|glycerophospholipid biosynthetic process|phosphatidylinositol 3-kinase signaling|lipid modification,4.588e-09|3.127e-08|6.628e-08|7.297e-08|8.609e-08,7.238e-05|0.0002466|0.0003485|0.0002878|0.0002716,148.4|91.03|75.23|325.2|70.41
1217,5,0.6657,6.657,3630.0,0.0018260000000000001,0.996692,EIF3B INTS1 LSM5 PSMA2 RPA3,cellular macromolecule biosynthetic process|macromolecule biosynthetic process|U2 snRNA 3'-end processing|cellular protein-containing complex assembly|cellular macromolecule metabolic process,0.0001961|0.0002159|0.0004854|0.0006853|0.0008145,1|1|1|1|1,9.955|9.715|4119|14.39|4.15
1218,4,0.6633,3.98,2898.0,0.001368,0.9929309999999999,GNL2 INTS11 NOL9 TRAPPC3,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|ribosome biogenesis|ncRNA processing|ribonucleoprotein complex biogenesis|endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0005825|0.001539|0.002584|0.002986|0.003104,1|1|1|1|1,2574|31.02|23.84|22.15|343.2
1219,6,0.6978,10.47,4157.0,0.0025039999999999997,0.998474,CCT3 COPA INTS3 PSMB4 PSMD4 SF3B4,negative regulation of G2/M transition of mitotic cell cycle|negative regulation of cell cycle G2/M phase transition|regulation of G2/M transition of mitotic cell cycle|regulation of cell cycle G2/M phase transition|negative regulation of mitotic cell cycle phase transition,2.196e-06|3.009e-06|1.928e-05|2.411e-05|2.611e-05,0.03464|0.02373|0.1014|0.09507|0.08237,106.2|95.35|50.73|47.02|45.77
1220,6,0.7189,10.78,4160.0,0.002578,0.998474,INTS1 INTS2 INTS5 INTS6 INTS7 INTS8,snRNA 3'-end processing|snRNA processing|snRNA metabolic process|ncRNA 3'-end processing|snRNA transcription by RNA polymerase II,2.191e-17|4.945e-17|2.164e-16|3.06e-16|2.061e-15,3.457e-13|3.9e-13|1.138e-12|1.207e-12|6.501e-12,664.4|572.1|438.2|411.9|294.2
1221,6,0.6794,10.19,4022.0,0.00252,0.998474,EIF3E EIF3F EIF3H EIF3M IPO7 RPL27A,formation of cytoplasmic translation initiation complex|cytoplasmic translational initiation|translational initiation|cytoplasmic translation|translation,9.675e-12|9.25e-11|1.067e-10|2.986e-09|1.382e-08,1.526e-07|7.296e-07|5.609e-07|1.178e-05|4.361e-05,858.1|457.7|120|183.1|44.69
1222,6,0.6808,10.21,4908.0,0.002071,0.998474,HRASLS HTR3D IQCG MUC4 SLC51A TCTEX1D2,regulation of intraciliary retrograde transport|bile acid secretion|N-acylphosphatidylethanolamine metabolic process|microtubule-based movement|intraciliary retrograde transport,0.0008735|0.002037|0.002909|0.004173|0.004361,1|1|1|1|1,1716|572.1|381.4|19.61|245.2
1223,4,0.76,4.56,2804.0,0.0016190000000000002,0.9929309999999999,IRF2BP1 IRF2BP2 IRF2BPL VGLL4,"negative regulation of transcription, DNA-templated|negative regulation of nucleic acid-templated transcription|negative regulation of RNA biosynthetic process|negative regulation of RNA metabolic process|negative regulation of cellular macromolecule biosynthetic process",1.541e-05|1.55e-05|1.56e-05|2.113e-05|2.735e-05,0.2431|0.1223|0.08203|0.08333|0.08627,15.99|15.97|15.94|14.77|13.85
1224,4,0.7782,4.669,2872.0,0.0016190000000000002,0.9929309999999999,DNAJC13 IRF3 TBK1 TMEM173,positive regulation of type I interferon-mediated signaling pathway|positive regulation of interferon-alpha production|regulation of interferon-alpha production|TRIF-dependent toll-like receptor signaling pathway|MyD88-independent toll-like receptor signaling pathway,1.484e-06|4.593e-06|7.008e-06|7.008e-06|8.406e-06,0.02341|0.03622|0.03685|0.02764|0.02652,1056|572.1|457.7|457.7|416.1
1225,21,0.6575,138.1,16900.0,0.008085,1.0,ABCC12 CES1 CES2 CES3 CES4A CES5A CHST5 CLEC18A CLEC18C CMTM1 HSD11B2 IRX5 IRX6 LCAT MT1A MT1F MT1H MT4 MTSS1L PLA2G15 TMED6,detoxification of copper ion|stress response to copper ion|detoxification of inorganic compound|stress response to metal ion|cellular response to zinc ion,1.321e-11|1.321e-11|2.182e-11|2.754e-11|9.199e-11,2.084e-07|1.042e-07|1.147e-07|1.086e-07|2.902e-07,306.5|306.5|272.4|258.1|196.1
1226,4,0.7039,4.223,2740.0,0.001535,0.9929309999999999,FXN ISCU LYRM4 NFS1,metallo-sulfur cluster assembly|iron-sulfur cluster assembly|sulfur compound metabolic process|iron incorporation into metallo-sulfur cluster|metal incorporation into metallo-sulfur cluster,2.34e-12|2.34e-12|1.058e-07|1.697e-07|1.697e-07,3.691e-08|1.846e-08|0.0005564|0.0006691|0.0005353,895.4|895.4|55.81|5149|5149
1227,4,0.6692,4.015,3074.0,0.001301,0.9929309999999999,ISG20L2 MRPL24 PRCC SMG5,gene expression|cellular nitrogen compound metabolic process|RNA metabolic process|nucleic acid metabolic process|mRNA metabolic process,0.0001274|0.0007508|0.001769|0.004688|0.006537,1|1|1|1|1,9.421|6.045|9.66|6.92|14.84
1228,4,0.6508,3.905,2566.0,0.001515,0.9929309999999999,ITFG1 MON2 OSBPL9 VPS54,post-Golgi vesicle-mediated transport|cytosolic transport|neurofilament cytoskeleton organization|Golgi vesicle transport|Golgi to endosome transport,0.0002574|0.000313|0.001747|0.002177|0.003491,1|1|1|1|1,76.85|69.58|643.6|26|302.9
